region,region_code,period,pct_phys_any_ehr,pct_phys_basic_ehr,pct_phys_cert_ehr,pct_primary_care_phys_basic_ehr,pct_primary_care_phys_cert_ehr,pct_surg_med_spec_phys_cert_ehr,pct_rural_phys_basic_ehr,pct_small_practice_phys_basic_ehr,pct_small_practice_phys_cert_ehr,pct_phys_view_labs,pct_phys_send_lab_orders,pct_phys_graph_labs,pct_phys_e_share_provs,pct_phys_e_share_ambu_provs,pct_phys_e_share_hosps,pct_phys_send_receive_any_patient_info,pct_phys_e_share_patients,pct_phys_patient_secure_message,pct_phys_vdt,pct_phys_vd_and_t,pct_phys_patient_clinical_summary,pct_phys_find_clin_info,pct_phys_send_any_clin_info,pct_phys_send_summary_care_record,pct_phys_receive_any_clin_info,pct_phys_receive_summary_care_record,pct_phys_integrate_any_clin_info,pct_phys_integrate_summary_care_record
Michigan,MI,2015,0.903,0.628,0.849,,0.815467149,0.888629638,,,0.843408058,,,,,,,0.600192982,0.868984715,0.78563992,0.810513978,0.204651074,,0.447256921,0.498397232,0.177790235,0.476163673,0.290119772,0.336725031,0.162109825
Minnesota,MN,2015,0.977,0.792,0.889,,0.922066574,0.85541537,,,0.760044836,,,,,,,0.610939419,0.886750726,0.801732002,0.869714287,0.204675868,,0.431283723,0.457758308,0.230363825,0.550435348,0.283070514,0.252747009,0.086908828
Mississippi,MS,2015,0.879,0.637,0.828,,0.830351792,0.823963398,,,0.819751526,,,,,,,0.429814801,0.793804367,0.692821614,0.750542671,0.177111924,,0.197882685,0.393391253,0.230774489,0.236755946,0.276803005,0.233486825,0.194685493
Missouri,MO,2015,0.9,0.6,0.786,,0.807115163,0.753884648,,,0.700674708,,,,,,,0.420254671,0.760208582,0.703661798,0.63324855,0.117752298,,0.224671294,0.373935514,0.213448093,0.240630682,0.206144439,0.258853315,0.101418595
Montana,MT,2015,0.833,0.672,0.747,,0.786392683,0.716429891,,,0.727501053,,,,,,,0.454892793,0.747175002,0.658705052,0.636218618,0.191147173,,0.328459922,0.390056504,0.231290268,0.389006267,0.244838543,0.183349201,0.097367351
National,US,2015,0.869,0.539,0.779,,0.809351274,0.751212424,,,0.722070834,,,,,,,0.477465423,0.713598414,0.636581561,0.651642412,0.164327623,,0.340403351,0.382395484,0.210229545,0.382968081,0.245862026,0.310558342,0.126781438
Nebraska,NE,2015,0.942,0.569,0.871,,0.829090346,0.928762566,,,0.78381778,,,,,,,0.481270256,0.715844906,0.708477646,0.663368777,0.196758993,,0.41012266,0.358146603,0.255306331,0.354861366,0.296886484,0.370686307,0.172688683
Nevada,NV,2015,0.827,0.405,0.723,,0.686305985,0.761275864,,,0.719484096,,,,,,,0.489963453,0.726136956,0.600342233,0.611425346,0.152649222,,0.366100815,0.313057115,0.196358571,0.407397896,0.256608524,0.339325879,0.073010038
New Hampshire,NH,2015,0.922,0.715,0.818,,0.84359255,0.80275894,,,0.756406905,,,,,,,0.510753368,0.796995056,0.688668331,0.750175707,0.221881173,,0.40818266,0.401349496,0.230403072,0.467888582,0.232700779,0.337037954,0.18474593
New Jersey,NJ,2015,0.753,0.333,0.616,,0.59694726,0.629941309,,,0.563848942,,,,,,,0.345130668,0.674503964,0.501691398,0.608703113,0.174189508,,0.328602201,0.242959407,0.144885857,0.271344678,0.18979885,0.228378492,0.077454325
New Mexico,NM,2015,0.95,0.726,0.822,,0.849588105,0.778813444,,,0.714882606,,,,,,,0.471895627,0.765288483,0.667790367,0.732862857,0.148309301,,0.309039466,0.357509944,0.190244497,0.318754396,0.27625059,0.414406568,0.202196288
New York,NY,2015,0.864,0.482,0.745,,0.79940601,0.699636813,,,0.585723863,,,,,,,0.420247116,0.514536462,0.40976488,0.478392062,0.115444113,,0.235038705,0.299289882,0.155382066,0.297332223,0.150597269,0.315270301,0.037351323
North Carolina,NC,2015,0.971,0.664,0.894,,0.884600902,0.904863918,,,0.879811519,,,,,,,0.545028335,0.817325539,0.79940662,0.761400492,0.23173384,,0.493062712,0.479460021,0.316819087,0.46845394,0.410942767,0.396134838,0.202266034
